sample_1,sample_2,true_label,predicted_label,distance
IAM364_1,IAM559_1,1,1,1.3138973
IAM151_3,IAM151_1,0,0,0.07733789
IAM109_2,IAM599_2,1,1,0.99389815
IAM548_2,IAM548_3,0,0,0.29853305
IAM150_8,IAM150_1,0,0,0.12675707
IAM153_7,IAM153_4,0,0,0.21372716
IAM199_3,IAM469_1,1,1,1.0480545
IAM205_2,IAM205_1,0,0,0.10677364
IAM382_1,IAM382_2,0,0,0.14011335
IAM134_1,IAM399_1,1,1,1.3728036
IAM150_3,IAM150_7,0,0,0.17900579
IAM544_3,IAM544_4,0,0,0.11414759
IAM085_1,IAM085_3,0,0,0.31484348
IAM064_1,IAM322_1,1,1,1.0803878
IAM025_3,IAM025_1,0,0,0.08428757
IAM415_2,IAM415_3,0,0,0.19152191
IAM202_2,IAM439_2,1,1,1.2094622
IAM109_4,IAM340_6,1,1,0.89637125
IAM339_4,IAM339_9,0,0,0.55744284
IAM133_4,IAM133_2,0,0,0.25864035
IAM384_4,IAM384_1,0,0,0.45444688
IAM552_6,IAM552_1,0,0,0.24311312
IAM204_3,IAM204_1,0,0,0.16951367
IAM025_3,IAM286_3,1,1,1.0304857
IAM337_1,IAM337_9,0,0,0.24624063
IAM567_6,IAM567_5,0,0,0.56307626
IAM362_1,IAM631_1,1,0,0.7157186
IAM193_3,IAM603_1,1,1,1.3152473
IAM049_1,IAM631_1,1,1,1.3992158
IAM670_6,IAM670_7,0,0,0.20152955
IAM338_8,IAM338_9,0,0,0.111276396
IAM292_1,IAM515_1,1,1,0.9301521
IAM195_2,IAM218_1,1,0,0.6193266
IAM129_1,IAM129_3,0,0,0.15153426
IAM150_8,IAM150_7,0,0,0.16619527
IAM133_2,IAM133_1,0,0,0.25379655
IAM135_1,IAM135_2,0,0,0.1379756
IAM343_7,IAM343_1,0,0,0.6539762
IAM209_6,IAM668_1,1,1,0.77692413
IAM187_1,IAM465_1,1,0,0.5720859
IAM132_2,IAM151_6,1,1,0.8684252
IAM005_1,IAM305_1,1,1,1.2663722
IAM025_2,IAM539_1,1,1,1.1429447
IAM181_3,IAM231_2,1,1,1.392359
IAM061_3,IAM061_2,0,0,0.41094565
IAM150_9,IAM150_5,0,0,0.10698025
IAM150_9,IAM150_4,0,0,0.19023892
IAM144_1,IAM667_1,1,1,1.2630447
IAM302_1,IAM428_1,1,1,1.1879066
IAM484_1,IAM649_1,1,1,1.4710337
IAM198_2,IAM198_1,0,0,0.31640023
IAM123_2,IAM174_1,1,1,0.87369305
IAM518_1,IAM619_1,1,1,1.0363495
