sample_1,sample_2,true_label,predicted_label,distance
W032/S01_N,W032/S02_F,0,0,0.4841899
W032/S02_F,W032/S02_N,0,0,0.42497873
W065/S01_F,W065/S03_N,0,0,0.33773553
W082/S01_F,W098/S02_N,1,1,1.2619259
W078/S02_F,W101/S03_N,1,1,1.1357237
W065/S02_F,W065/S03_F,0,0,0.22177424
W065/S02_F,W065/S02_N,0,0,0.28801578
W094/S03_F,W065/S03_N,1,1,1.4017946
W013/S03_F,W098/S02_N,1,0,0.6250141
W048/S03_N,W082/S03_F,1,1,1.189776
W078/S01_N,W078/S03_F,0,0,0.31842992
W032/S02_N,W016/S02_N,1,1,0.87867326
W083/S02_F,W016/S03_F,1,1,1.1670489
W056/S01_N,W056/S03_N,0,0,0.5282013
W098/S01_N,W098/S02_F,0,0,0.26541138
W098/S02_N,W013/S01_N,1,1,0.85733956
W083/S01_F,W083/S03_F,0,0,0.36149827
W027/S02_N,W027/S03_N,0,0,0.37518817
W083/S01_N,W083/S03_F,0,0,0.41664693
W064/S02_N,W064/S03_N,0,0,0.24259196
W084/S03_N,W016/S03_F,1,0,0.6346683
W032/S02_F,W027/S01_N,1,1,1.0103246
W083/S03_N,W084/S03_N,1,1,1.1026767
W056/S01_F,W056/S03_N,0,0,0.26170722
W101/S01_N,W101/S02_N,0,0,0.20193647
W082/S01_N,W082/S03_F,0,0,0.42950782
W032/S01_F,W048/S03_N,1,1,1.1148651
W048/S01_N,W064/S03_N,1,1,0.8125963
W048/S01_N,W078/S03_F,1,1,1.1918397
W083/S03_N,W048/S03_N,1,1,0.8624063
W032/S01_F,W032/S02_F,0,1,0.82341605
W027/S02_F,W032/S01_F,1,1,1.076596
W078/S03_F,W078/S03_N,0,0,0.3040429
W016/S02_N,W083/S02_F,1,1,1.145946
W056/S01_F,W056/S03_F,0,0,0.33618236
W064/S03_F,W083/S01_N,1,1,1.0615985
W101/S01_N,W101/S03_N,0,0,0.24948704
W032/S01_F,W098/S03_F,1,1,1.2797892
W064/S02_N,W013/S02_F,1,1,1.2453927
W083/S01_N,W084/S03_F,1,1,1.3064613
W064/S02_F,W064/S02_N,0,0,0.5740629
W032/S01_F,W098/S02_F,1,1,1.2252904
W027/S01_N,W032/S02_N,1,1,1.2150255
W082/S01_F,W082/S03_F,0,0,0.22223662
W065/S02_N,W065/S03_F,0,0,0.19365758
W056/S01_F,W056/S02_F,0,0,0.21201476
W083/S02_N,W056/S02_N,1,1,0.8415669
W013/S01_N,W013/S03_F,0,0,0.5169938
W064/S01_N,W064/S03_N,0,0,0.51511294
W016/S02_F,W084/S03_N,1,1,0.90366757
W084/S03_F,W101/S03_F,1,1,1.2765425
W013/S03_N,W064/S02_F,1,1,1.2170967
W084/S01_F,W032/S03_F,1,0,0.46937144
W084/S01_F,W056/S01_F,1,1,1.1394705
W048/S01_F,W078/S03_N,1,1,1.0979376
W048/S02_F,W048/S03_F,0,0,0.32397804
W064/S03_N,W056/S03_N,1,1,1.0444913
W101/S01_N,W101/S02_F,0,0,0.21455625
W027/S03_F,W027/S03_N,0,0,0.5924555
W032/S03_N,W027/S03_F,1,1,1.24247
W084/S01_N,W084/S02_F,0,1,0.97633016
W083/S02_F,W064/S02_N,1,1,1.2575649
W032/S01_F,W032/S01_N,0,1,1.1244243
W032/S01_N,W048/S01_F,1,1,0.9462861
W064/S01_N,W064/S02_N,0,0,0.57005733
W098/S01_F,W032/S02_N,1,1,1.094864
W048/S02_F,W056/S03_F,1,1,0.96604156
W064/S01_F,W064/S02_N,0,0,0.48694727
W101/S03_N,W083/S03_F,1,1,0.94997543
W027/S02_F,W027/S03_N,0,0,0.63285136
W078/S03_F,W101/S02_F,1,1,0.9324883
W101/S03_F,W101/S03_N,0,0,0.6991196
W056/S01_N,W056/S03_F,0,0,0.69910747
W027/S03_F,W082/S03_N,1,1,0.90409917
W101/S01_F,W101/S03_N,0,0,0.3964668
W084/S01_F,W084/S03_N,0,0,0.6910287
